#pK pK_min pK_max cos_cm cos_cm_err Entry
754 753 755 -0.133333 0.0666667 98.2144
754 753 755 -2.77556e-17 0.0666667 100.656
754 753 755 0.133333 0.0666667 106.353
754 753 755 0.266667 0.0666667 105.539
754 753 755 0.4 0.0666667 103.359
754 753 755 0.533333 0.0666667 97.7494
754 753 755 0.666667 0.0666667 95.395
754 753 755 0.8 0.0666667 95.5985
754 753 755 0.933333 0.0666667 100.83
758 757 759 -0.933333 0.0666667 144.94
758 757 759 -0.8 0.0666667 109.414
758 757 759 -0.666667 0.0666667 99.3489
758 757 759 -0.533333 0.0666667 94.4077
758 757 759 -0.4 0.0666667 86.0581
758 757 759 -0.266667 0.0666667 69.3589
758 757 759 -0.133333 0.0666667 78.5092
758 757 759 -2.77556e-17 0.0666667 65.287
758 757 759 0.133333 0.0666667 71.0288
758 757 759 0.266667 0.0666667 75.0549
758 757 759 0.4 0.0666667 76.0843
758 757 759 0.533333 0.0666667 77.5026
758 757 759 0.666667 0.0666667 87.7509
758 757 759 0.8 0.0666667 84.3653
758 757 759 0.933333 0.0666667 96.009
762 761 763 -0.933333 0.0666667 108.886
762 761 763 -0.8 0.0666667 89.1737
762 761 763 -0.666667 0.0666667 88.6478
762 761 763 -0.533333 0.0666667 75.5331
762 761 763 -0.4 0.0666667 70.9916
762 761 763 -0.266667 0.0666667 63.2789
762 761 763 -0.133333 0.0666667 64.0438
762 761 763 -2.77556e-17 0.0666667 56.0284
762 761 763 0.133333 0.0666667 61.6854
762 761 763 0.266667 0.0666667 56.2355
762 761 763 0.4 0.0666667 46.6266
762 761 763 0.533333 0.0666667 42.4834
762 761 763 0.666667 0.0666667 35.3763
762 761 763 0.8 0.0666667 28.6038
762 761 763 0.933333 0.0666667 19.6641
766 765 767 -0.933333 0.0666667 69.4501
766 765 767 -0.8 0.0666667 60.5361
766 765 767 -0.666667 0.0666667 63.1254
766 765 767 -0.533333 0.0666667 57.9577
766 765 767 -0.4 0.0666667 62.1227
766 765 767 -0.266667 0.0666667 46.9942
766 765 767 -0.133333 0.0666667 48.2614
766 765 767 -2.77556e-17 0.0666667 39.7771
766 765 767 0.133333 0.0666667 38.2455
766 765 767 0.266667 0.0666667 30.7418
766 765 767 0.4 0.0666667 25.2546
766 765 767 0.533333 0.0666667 21.6405
766 765 767 0.666667 0.0666667 21.7947
766 765 767 0.8 0.0666667 22.4669
766 765 767 0.933333 0.0666667 24.5384
770 769 771 -0.933333 0.0666667 28.4473
770 769 771 -0.8 0.0666667 24.2933
770 769 771 -0.666667 0.0666667 24.0262
770 769 771 -0.533333 0.0666667 22.1566
770 769 771 -0.4 0.0666667 21.702
770 769 771 -0.266667 0.0666667 17.2468
770 769 771 -0.133333 0.0666667 20.0825
770 769 771 -2.77556e-17 0.0666667 17.531
770 769 771 0.133333 0.0666667 19.8609
770 769 771 0.266667 0.0666667 19.7074
770 769 771 0.4 0.0666667 20.2302
770 769 771 0.533333 0.0666667 20.844
770 769 771 0.666667 0.0666667 22.6169
770 769 771 0.8 0.0666667 22.3783
770 769 771 0.933333 0.0666667 27.4415
