# E72Physics physics runs only; source run lists: /home/had/haein/work/e72/ana/e72/runmanager/runlist/tpc_runinfo
# K-beam normalization: scaler K-Beam; DAQ-Eff is K-Beam weighted.
# TRIG-D is retained only as a diagnostic scaler counter.
# rows are globally sorted by run number.
# momentum_mev run nKbeam_K-Beam TRIG-D DAQ-Eff K-BeamxDAQ-Eff run_list
  790  2805     12769425     12769431  0.837909 10699616.132325 E72Physics_790_1.txt
  790  2806     12495431     12495449  0.837224 10461474.723544 E72Physics_790_1.txt
  790  2816     19103887     19103906  0.830484 15865472.491308 E72Physics_790_2.txt
  790  2817     12374387     12374398  0.829616 10265989.445392 E72Physics_790_2.txt
  790  2818      8756463      8756469  0.827603 7246875.048189 E72Physics_790_2.txt
  790  2820     12001566     12001577  0.828107 9938580.815562 E72Physics_790_2.txt
  790  2822     14425213     14425228  0.825964 11914706.630332 E72Physics_790_2.txt
  790  2823     14113469     14113489  0.824829 11641198.521801 E72Physics_790_2.txt
  790  2824     13039789     13039800  0.823683 10740652.522887 E72Physics_790_2.txt
  790  2825     13905245     13905264  0.822680 11439566.956600 E72Physics_790_2.txt
  790  2826     13084331     13084341  0.819779 10726259.782849 E72Physics_790_2.txt
  790  2827      4036072      4036077  0.792821 3199882.639112 E72Physics_790_2.txt
  790  2828      1810960      1810962  0.818075 1481501.102000 E72Physics_790_2.txt
  790  2834      3195353      3195357  0.834628 2666931.083684 E72Physics_790_3.txt
  790  2836     11277443     11277452  0.826573 9321629.892839 E72Physics_790_3.txt
  790  2837      1447643      1447645  0.833831 1207089.610333 E72Physics_790_3.txt
  790  2842      2952208      2952209  0.819672 2419842.235776 E72Physics_790_4.txt
  790  2844      8761398      8761406  0.822607 7207187.324586 E72Physics_790_4.txt
  933  2857     14815331     14815354  0.809838 11998018.026378 E72Physics_933_1.txt
  933  2858     15170369     15170393  0.809204 12275923.276276 E72Physics_933_1.txt
  933  2859     15398630     15398660  0.807658 12436826.708540 E72Physics_933_1.txt
  933  2860     12910940     12910962  0.804948 10392635.331120 E72Physics_933_1.txt
  933  2861      1874833      1874837  0.798409 1496883.540697 E72Physics_933_1.txt
  933  2863     17453945     17453983  0.807391 14092158.107495 E72Physics_933_1.txt
  933  2864     14163053     14163079  0.803494 11379928.107182 E72Physics_933_1.txt
